PreG1a	PreG2a	PostG1a	PostG2a
44.149	44.287	44.56	46.899
45.286	44.478	43.581	47.029
43.647	44.134	43.725	47.544
44.622	44.661	43.234	47.84
44.083	44.995	44.407	48.232
43.374	43.692	42.255	47.78
44.302	44.392	44.714	48
43.466	43.783	43.623	47.15
44.284	44.043	45.308	46.127
44.521	43.874	45.498	46.973
41.685	45.183	42.861	46.074
42.973	44.276	43.806	46.179
45.468	42.955	45.283	45.303
42.723	43.933	41.631	46.31
44.044	43.646	45.002	45.559
44.123	43.866	43.517	45.874
43.515	43.4	44.09	47.343
42.459	44.75	44.198	47.241
42.974	42.174	42.517	46.313
43.357	43.665	43.514	45.685
42.929	44.288	42.216	47.138
44.735	42.98	44.75	46.508
44.403	43.595	42.822	45.234
44.451	44.811	44.263	47.937
42.977	44.001	44.162	47.359
43.711	46.037	42.501	47.444
45.444	44.617	44.715	46.717
45.962	43.488	45.221	45.647
43.676	45.32	42.413	46.15
42.126	44.631	43.401	47.126
44.944	43.986	44.716	45.811
44.75	41.338	43.21	44.139
45.389	43.899	45.535	47.4
42.119	41.547	42.483	44.049
43.449	43.939	43.247	46.46
41.854	44.721	42.134	48.186
44.627	44.199	44.512	46.824
42.928	43.192	44.231	45.307
44.888	44.709	44.211	47.448
42.612	43.436	42.941	46.263
44.066	43.766	45.119	47.643
43.505	44.514	44.335	47.713
44.182	43.845	43.85	46.933
41.429	43.389	41.468	46.533
43.18	43.065	42.842	46.634
41.863	44.007	43.166	48.432
43.277	43.041	44.383	45.06
43.133	44.405	42.523	47.068
45.875	43.837	43.925	48.602
44.042	44.181	43.775	46.826
43.317	45.307	43.243	48.905
43.774	43.14	44.627	46.328
44.239	43.232	43.292	46.579
43.009	44.84	43.881	47.704
44.421	44.321	44.323	47.691
45.969	45.48	45.634	48.929
44.326	43.719	44.007	47.34
43.878	44.082	44.799	47.117
43.141	44.211	43.759	47.378
44.746	43.123	44.66	45.927
43.492	44.671	44.504	46.127
43.943	44.424	43.322	48.168
44.53	43.897	44.182	45.321
44.28	44.172	44.226	46.628
44.331	44.39	43.688	47.599
44.202	45.164	44.324	49.287
44.577	43.017	44.663	45.027
43.281	44.957	44.477	48.728
44.551	43.313	43.048	45.625
44.195	41.131	45.009	46.637
43.908	42.236	44.384	45.526
43.453	43.109	43.002	47.165
46.244	44.016	44.523	47.252
44.349	44.28	44.181	46.971
45.991	44.532	44.234	46.008
43.372	43.811	42.404	46.309
43.693	45.685	43.346	48.713
44.544	45.117	43.374	47.08
45.111	43.416	43.973	45.418
41.648	44.123	42.409	46.672
44.648	43.908	45.37	46.252
44.678	45.681	45.403	47.27
44.219	44.863	44.517	47.916
41.353	42.547	43.225	45.972
43.81	45.596	44.703	48.456
45.306	43.52	43.254	45.49
44.527	43.315	45.249	46.082
43.083	43.479	43.163	47.871
43.292	45.217	42.201	47.935
43.868	45.268	44.846	48.526
44.423	42.059	45.199	45.956
44.652	43.851	43.629	48.861
43.14	44.572	42.274	46.761
44.38	44.481	43.606	47.007
42.231	42.626	43.996	45.602
44.55	44.265	43.59	46.655
44.13	44.344	44.988	48.838
44.974	43.923	43.172	47.383
43.543	45.42	44.893	46.703
44.194	43.682	45.145	47.027
43.02	44.534	44.202	47.696
43.069	44.416	42.196	46.847
43.414	45.266	43.865	48.205
45.818	43.56	45.336	47.434
44.447	45.154	44.982	46.68
43.971	44.906	42.948	46.146
43.553	43.668	43.865	46.209
43.799	45.287	44.608	49.495
44.485	43.431	44.035	46.518
43.599	43.845	43.908	45.48
44.925	42.894	47.104	45.869
43.545	44.594	43.15	47.229
43.441	43.031	43.103	46.785
43.862	45.46	43.847	49.15
42.35	42.563	44.403	44.595
43.144	43.872	44.34	45.262
45.796	43.273	45.809	46.256
43.284	44.401	42.586	46.877
42.77	42.022	42.162	45.882
42.683	46.51	45.496	48.521
43.263	44.395	44.987	47.253
43.074	42.061	42.812	44.593
44.338	43.952	43.214	46.569
43.607	42.344	43.977	46.447
44.698	44.35	43.754	48.068
43.982	44.62	43.187	46.012
43.504	45.554	43.51	48.183
43.7	44.125	44.251	47.648
42.902	43.789	42.273	46.938
43.537	46.133	44.522	47.899
42.569	43.194	44.869	44.071
44.21	43.164	42.985	47.194
44.423	45.002	43.888	48.115
44.648	44.2	44.524	47.734
44.154	43.898	45.228	46.789
44.208	44.813	44.779	47.494
43.815	43.035	42.968	47.852
43.167	44.554	42.808	47.942
45.05	44.814	43.232	48.003
42.786	43.548	42.879	47.027
44.241	43.532	45.415	46.05
44.519	42.493	44.979	47.363
43.809	43.833	44.211	46.465
44.258	43.653	44.027	46.933
42.945	43.444	43.657	47.209
45.223	43.888	45.213	48.252
43.356	43.532	43.919	46.19
43.517	44.577	44.639	48.125
45.117	43.172	44.967	46.293
43.961	44.836	44.337	47.465
45.019	44.265	45.879	45.848
44.358	44.376	43.161	47.835
44.129	43.079	42.796	45.378
43.431	43.801	42.853	46.772
45.832	43.974	44.072	46.771
44.262	44.068	44.052	47.597
42.774	43.705	43.75	45.884
43.269	44.518	43.615	48.369
45.027	44.845	44.184	49.098
45.643	43.742	43.353	46.046
44.933	43.322	43.856	47.045
43.524	44.035	43.668	47.494
42.214	44.208	41.792	47.426
44.202	44.061	45.48	46.806
45.245	43.48	44.815	46.254
44.366	45.34	44.878	49.532
44.791	43.422	45.265	46.269
44.47	43.38	44.426	45.927
44.102	44.242	43.168	47.656
43.596	43.475	43.812	47.143
43.943	43.146	44.352	45.006
43.894	44.775	44.771	46.914
43.925	44.443	44.348	48.164
43.323	44.954	43.233	47.735
42.752	44.754	44.403	47.841
44.33	44.06	43.697	46.868
42.76	43.904	42.195	48.551
43.114	43.151	41.401	47.695
43.536	45.595	44.05	48.035
43.947	45.222	44.625	48.63
44.391	43.573	43.347	47.316
44.868	43.609	44.101	47.568
44.404	44.391	44.395	48.206
