batch	thick
1	0.1901
1	0.1892
1	0.1907
1	0.1901
1	0.1900
1	0.1901
1	0.1909
1	0.1889
1	0.1886
1	0.1899
1	0.1905
1	0.1911
1	0.1895
1	0.1887
1	0.1885
1	0.1891
1	0.1900
1	0.1905
1	0.1917
1	0.1881
1	0.1896
1	0.1891
1	0.1902
1	0.1899
1	0.1913
1	0.1903
1	0.1894
1	0.1911
1	0.1891
1	0.1908
2	0.1921
2	0.1917
2	0.1949
2	0.1922
2	0.1926
2	0.1941
2	0.1937
2	0.1917
2	0.1924
2	0.1928
2	0.1903
2	0.1920
2	0.1919
2	0.1912
2	0.1925
2	0.1921
2	0.1927
2	0.1920
2	0.1946
2	0.1938
2	0.1930
2	0.1935
2	0.1916
2	0.1904
2	0.1903
2	0.1895
2	0.1916
2	0.1912
2	0.1912
2	0.1900
