Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
1	1	1	3	1	.018	320.9	2.67	389.9	3.59	45.2	70.7	73.7	185	136.7	201.1	9.9	134.2	101.24
2	1	1	2	1	.017	391.11	3.06	391.1	3.59	49.8	67.26	70.5	169	136.9	201.2	10.9	125	101.249999
4	1	3	2	1	.018	368.55	3.44	437.9	3.72	47.3	74.94	74.7	184	136.7	201.1	12.7	125	101.23
5	1	3	2	1	.035	414.92	3.29	460	3.66	47.2	64.23	85.5	212	136.5	201.3	6.8	125	101.22
7	1	3	2	1	.044	451.28	3.86	460	3.63	48	65.65	66.5	171	136.7	201	15.4	268.4	101.23
8	1	3	2	1	.034	446.26	3.71	452.6	3.55	48	68.27	67.2	170	136.7	201	17.6	134.2	101.22
9	1	3	2	1	.033	467.59	3.91	473.5	3.68	48.8	76.35	64.7	164	136.8	201	15.8	100.7	101.249999
10	1	3	1	1	.047	359.77	3.51	385	3.41	48.3	74.13	65.2	169	136.7	201	16.3	302	101.2
11	1	3	1	1	.058	376.08	3.58	399.8	3.35	48.5	76.76	67	172	136.7	201.1	14.5	167.8	101.22
12	1	3	2	1	.032	347.22	3.06	420.7	3.32	47.7	60.6	67.7	174	136.8	201.1	9	167.8	101.269992
13	1	3	2	1	.033	338.47	3.09	398.5	3.64	49	70.7	66.5		136.8	201.2	3.2	469.7	101.269992
14	1	3	2	1	.037	409.9	3.35	446.5	3.34	48.8	78.37	85.2	190	136.9	201.4	25	125	101.2
15	1	3	2	1	.026	366.04	3.04	423.1	3.43	46.5	67.26	84.5	183	137	201.4	25	125	101.2
16	1	3	2	1	.028	421.19	3.5	478.5	3.48	49.8	74.54	91.7	226	136.6	201.4	25	125	101.2
17	1	3	2	1	.041	339.72	2.76	398.5	3.03	40.2	70.7	70.2	184	136.6	201.1	11.8	436.2	101.2
18	1	3	2	1	.019	382.32	3.26	375.1	3.42	45.3	30.3	67.7	169	136.8	201.1	12.2	134.2	101.24
19	1	3	2	1	.023	141.64	1	369	1.74	40.7	53.93	90.7	232	136.4	201.3	2.3	125	101.249999
20	1	3	2	1	.04	428.72	3.7	432.9	3.63	47	69.49	64.2	177	136.6	201	12.2	570.4	101.22
22	1	3	2	1	.05	452.53	3.84	471.1	3.7	48.4	79.18	79.7	182	136.9	201.3	6.8	125	101.2
23	1	3	1	1	.038	457.55	3.86	472.3	3.91	49.8	78.37	78.2	174	137	201.3	5.4	125	101.2
24	1	3	2	1	.043	411.15	3.49	452.6	3.67	48.8	76.35	77.5	182	136.8	201.2	10.4	125	101.2
25	1	3	2	2	.043	352.24	2.81	401	2.89	36.5	49.69	81	183	137	201.4	25	125	101.23
26	1	2	2	1	.014	412.41	3.57	456.3	3.38	47.3	70.7	79	178	137	201.4	2.7	125	101.2
28	1	2	1	1	.012	480.11	3.92	492	3.92	48.4	77.36	77.7	190	136.7	201.2	9	125	101.2
29	1	2	2	1	.014	421.19	3.5	415.7	3.29	48	74.13	74.7	183	136.8	201.3	5	125	101.259999
